wavelength_muv calibration_curve solar_continuum co_cameron co2_uvd o_2972 no_nightglow
2.221602283104453477e+02 3.203952309829959794e-04 2.217033207416534424e-01 1.296178996562957764e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.534667432308197021e-01
2.228216283203009880e+02 3.179466499597120225e-04 2.516043186187744141e-01 1.086541786789894104e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.324521660804748535e-01
2.234830283301565998e+02 3.162194537162866712e-04 2.893018126487731934e-01 1.091566681861877441e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.264206707477569580e-01
2.241444283400122401e+02 3.149938634746699776e-04 2.840738892555236816e-01 1.146778091788291931e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.915263086557388306e-02
2.248058283498678520e+02 3.137492759449103078e-04 2.697888314723968506e-01 1.092378199100494385e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.607441484928131104e-02
2.254672283597234923e+02 3.123098898773264838e-04 2.484413981437683105e-01 2.032060176134109497e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.754913181066513062e-02
2.261286283695791042e+02 3.101171021249999704e-04 2.190299928188323975e-01 5.092818737030029297e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.231442570686340332e-01
2.267900283794347445e+02 3.077950211474277521e-04 1.866157501935958862e-01 5.455268621444702148e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.087368130683898926e-01
2.274514283892903563e+02 3.069980195589402461e-04 1.905907690525054932e-01 4.353919327259063721e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.031440019607543945e-01
2.281128283991459966e+02 3.059732595764043362e-04 2.288909703493118286e-01 6.295368075370788574e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.140240356326103210e-01
2.287742284090016369e+02 3.043263256727653395e-04 2.410743832588195801e-01 5.835981965065002441e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.161098226904869080e-02
2.294356284188572488e+02 3.029903785659683385e-04 2.306237071752548218e-01 4.104029536247253418e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.621976822614669800e-02
2.300970284287128891e+02 3.018009755369898024e-04 2.301044613122940063e-01 4.139690101146697998e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.152949690818786621e-02
2.307584284385685010e+02 3.009575576513053127e-04 2.483741044998168945e-01 3.609806895256042480e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.354213654994964600e-01
2.314198284484241412e+02 3.010288915144147055e-04 2.376072853803634644e-01 2.494568079710006714e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.468315660953521729e-01
2.320812284582797815e+02 3.017662615033445020e-04 2.436848580837249756e-01 2.018572092056274414e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.089405894279479980e-01
2.327426284681353934e+02 3.012308083260979924e-04 2.423139959573745728e-01 1.689942628145217896e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.343186646699905396e-01
2.334040284779910337e+02 2.999315199369769077e-04 2.198615223169326782e-01 1.301782578229904175e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.064841687679290771e-02
2.340654284878466456e+02 2.995987836476860628e-04 1.978445649147033691e-01 1.034040302038192749e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.430019900202751160e-02
